id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
281656475,PAC-MAN Premium,100788224,USD,3.99,21292,26,4.0,4.5,6.3.5,4+,Games,38,5,10,1
281796108,Evernote - stay organized,158578688,USD,0.0,161065,26,4.0,3.5,8.2.2,4+,Productivity,37,5,23,1
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,USD,0.0,188583,2822,3.5,4.5,5.0.0,4+,Weather,37,5,3,1
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,USD,0.0,262241,649,4.0,4.5,5.10.0,12+,Shopping,37,5,9,1
282935706,Bible,92774400,USD,0.0,985920,5320,4.5,5.0,7.5.1,4+,Reference,37,5,45,1
283619399,Shanghai Mahjong,10485713,USD,0.99,8253,5516,4.0,4.0,1.8,4+,Games,47,5,1,1
283646709,PayPal - Send and request money safely,227795968,USD,0.0,119487,879,4.0,4.5,6.12.0,4+,Finance,37,0,19,1
284035177,Pandora - Music & Radio,130242560,USD,0.0,1126879,3594,4.0,4.5,8.4.1,12+,Music,37,4,1,1
284666222,PCalc - The Best Calculator,49250304,USD,9.99,1117,4,4.5,5.0,3.6.6,4+,Utilities,37,5,1,1
284736660,Ms. PAC-MAN,70023168,USD,3.99,7885,40,4.0,4.0,4.0.4,4+,Games,38,0,10,1
284791396,Solitaire by MobilityWare,49618944,USD,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,38,4,11,1
284815117,SCRABBLE Premium,227547136,USD,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,37,0,6,1
284815942,Google – Search made just for mobile,179979264,USD,0.0,479440,203,3.5,4.0,27.0,17+,Utilities,37,4,33,1
284847138,Bank of America - Mobile Banking,160925696,USD,0.0,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2,1
284862767,FreeCell,55153664,USD,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,38,5,2,1
284876795,TripAdvisor Hotels Flights Restaurants,207907840,USD,0.0,56194,87,4.0,3.5,21.1,4+,Travel,37,1,26,1
284882215,Facebook,389879808,USD,0.0,2974676,212,3.5,3.5,95.0,4+,Social Networking,37,1,29,1
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,USD,0.0,223885,3726,4.0,4.5,11.15.0,12+,Travel,37,5,18,1
284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,USD,0.0,402925,136,4.0,4.5,11.0.3,12+,Music,37,3,16,1
285005463,Crash Bandicoot Nitro Kart 3D,10735026,USD,2.99,31456,4178,4.0,3.5,1.0.0,4+,Games,47,0,1,1
285946052,iQuran,70707916,USD,1.99,2929,966,4.5,4.5,3.3,4+,Reference,43,0,2,1
285994151,:) Sudoku +,6169600,USD,2.99,11447,781,5.0,5.0,5.2.6,4+,Games,40,5,1,1
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,USD,0.0,137951,131,4.0,4.5,6.9,4+,Sports,37,2,6,1
286070473,Mileage Log | Fahrtenbuch,71203840,USD,5.99,8,0,4.5,0.0,9.0.5,4+,Business,37,5,3,1
286799607,Cleartune - Chromatic Tuner,11423008,USD,3.99,3241,297,4.0,4.0,2.1.3,4+,Music,43,2,10,1
